,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
1946,0.41,0.55,2.0,161,3.0,No,Yes,No,IT,low
1947,0.53,0.76,5.0,132,6.0,No,Yes,No,IT,low
1948,0.42,0.47,2.0,139,3.0,Yes,Yes,No,IT,medium
1949,0.36,0.5,2.0,131,3.0,No,Yes,No,IT,medium
1950,0.38,0.52,2.0,161,3.0,No,Yes,No,IT,medium
1951,0.36,0.48,2.0,152,3.0,No,Yes,No,product_mng,medium
1952,0.46,0.54,2.0,138,3.0,No,Yes,No,product_mng,medium
1953,0.37,0.47,2.0,159,3.0,Yes,Yes,No,product_mng,medium
1954,0.42,0.49,2.0,153,3.0,No,Yes,No,product_mng,medium
1955,0.44,0.56,2.0,156,3.0,No,Yes,No,IT,medium
1956,0.92,0.82,5.0,265,5.0,No,Yes,No,RandD,medium
1957,0.1,0.79,6.0,301,5.0,No,Yes,No,RandD,medium
1958,0.76,1.0,4.0,220,6.0,No,Yes,No,RandD,medium
1959,0.11,0.79,6.0,247,4.0,No,Yes,No,RandD,medium
1960,0.43,0.48,2.0,136,3.0,No,Yes,No,RandD,high
1961,0.4,0.49,2.0,160,3.0,No,Yes,No,marketing,low
1962,0.11,0.84,7.0,310,4.0,No,Yes,No,sales,medium
1963,0.84,0.82,5.0,240,5.0,No,Yes,No,accounting,medium
1964,0.84,0.84,5.0,238,5.0,No,Yes,No,support,medium
1965,0.51,0.6,7.0,243,5.0,No,Yes,No,technical,medium
1966,0.66,0.91,5.0,248,4.0,No,Yes,No,management,low
1967,0.42,0.56,2.0,137,3.0,No,Yes,No,marketing,low
1968,0.38,0.49,2.0,155,3.0,No,Yes,No,marketing,low
1969,0.15,0.63,7.0,229,3.0,No,Yes,No,marketing,low
1970,0.38,0.53,2.0,140,3.0,No,Yes,No,sales,low
1971,0.43,0.54,2.0,156,3.0,No,Yes,No,sales,low
1972,0.37,0.57,2.0,147,3.0,No,Yes,No,sales,low
1973,0.11,0.92,7.0,293,4.0,No,Yes,No,sales,low
1974,0.41,0.53,2.0,157,3.0,No,Yes,No,sales,low
1975,0.84,0.96,4.0,247,5.0,No,Yes,No,sales,low
1976,0.4,0.51,2.0,148,3.0,No,Yes,No,sales,low
1977,0.58,0.74,4.0,215,3.0,No,No,No,sales,low
1978,0.82,0.67,2.0,202,3.0,No,No,No,sales,low
1979,0.45,0.69,5.0,193,3.0,No,No,No,sales,low
1980,0.78,0.82,5.0,247,3.0,No,No,No,sales,low
1981,0.49,0.6,3.0,214,2.0,No,No,No,sales,low
1982,0.36,0.95,3.0,206,4.0,No,No,No,sales,low
1983,0.54,0.37,2.0,176,2.0,No,No,No,sales,low
1984,0.99,0.91,5.0,136,4.0,No,No,No,sales,low
1985,0.5,0.75,6.0,127,3.0,No,No,No,sales,low
1986,0.74,0.64,4.0,268,3.0,No,No,No,sales,low
1987,0.56,0.58,4.0,258,3.0,No,No,No,sales,medium
1988,0.34,0.39,2.0,136,3.0,No,No,No,sales,medium
1989,0.48,0.94,5.0,255,6.0,No,No,No,accounting,medium
1990,0.73,0.62,3.0,218,3.0,No,No,No,accounting,medium
1991,0.59,0.87,3.0,268,4.0,No,No,No,accounting,medium
1992,0.81,0.57,3.0,224,2.0,No,No,No,hr,medium
1993,0.9,0.66,3.0,231,3.0,No,No,No,hr,medium
1994,0.41,0.84,6.0,191,6.0,No,No,No,hr,medium
1995,0.89,0.92,4.0,165,5.0,No,No,No,hr,medium
1996,0.48,0.84,4.0,252,3.0,No,No,No,technical,medium
1997,0.79,0.97,5.0,266,2.0,No,No,No,technical,medium
1998,0.98,0.66,5.0,248,3.0,No,No,No,technical,medium
1999,0.75,0.7,4.0,144,4.0,No,No,No,technical,high
2000,1.0,0.41,4.0,174,3.0,No,No,No,technical,low
2001,0.24,0.82,5.0,179,6.0,No,No,No,technical,medium
2002,0.84,0.43,6.0,246,4.0,No,No,No,technical,medium
2003,0.56,0.86,4.0,201,3.0,Yes,No,No,technical,medium
2004,0.92,0.93,4.0,208,3.0,No,No,No,technical,medium
2005,0.61,0.98,3.0,267,3.0,No,No,No,technical,low
2006,0.84,0.77,4.0,262,4.0,No,No,No,technical,low
2007,0.85,0.59,3.0,235,3.0,No,No,No,support,low
2008,0.67,0.57,2.0,160,4.0,No,No,No,support,low
2009,0.54,0.94,4.0,267,4.0,No,No,No,support,low
2010,0.75,0.56,5.0,175,4.0,No,No,No,support,low
2011,0.82,0.79,4.0,224,2.0,No,No,No,support,low
2012,0.76,0.6,4.0,177,2.0,No,No,No,support,low
2013,0.19,0.53,6.0,191,4.0,No,No,No,support,low
2014,0.61,0.41,3.0,138,3.0,No,No,No,support,low
2015,0.51,0.8,3.0,218,2.0,Yes,No,No,support,low
2016,0.52,0.88,3.0,179,2.0,Yes,No,No,support,low
2017,0.74,0.58,3.0,241,3.0,No,No,No,support,low
2018,0.98,0.91,4.0,240,3.0,No,No,No,technical,low
2019,0.71,0.92,3.0,202,4.0,No,No,No,technical,low
2020,0.33,0.88,6.0,260,3.0,No,No,No,technical,low
2021,0.98,0.97,3.0,196,3.0,No,No,No,management,low
2022,0.52,0.59,2.0,176,3.0,Yes,No,No,IT,low
2023,0.84,0.65,2.0,140,3.0,No,No,No,IT,low
2024,0.87,0.5,3.0,242,2.0,No,No,No,IT,low
2025,0.48,0.85,3.0,279,4.0,No,No,No,IT,low
2026,0.58,0.55,4.0,202,3.0,No,No,No,IT,medium
2027,0.58,0.84,5.0,228,3.0,No,No,No,product_mng,medium
2028,0.73,0.69,4.0,171,3.0,No,No,No,product_mng,medium
2029,0.68,0.54,4.0,153,3.0,No,No,No,product_mng,medium
2030,0.41,0.68,3.0,165,3.0,Yes,No,No,product_mng,medium
2031,0.85,0.6,3.0,182,3.0,No,No,No,IT,medium
2032,0.54,0.7,5.0,239,5.0,No,No,No,RandD,medium
2033,0.81,0.61,5.0,231,2.0,No,No,No,RandD,medium
2034,0.7,0.52,4.0,255,3.0,No,No,No,RandD,medium
2035,0.63,0.66,4.0,237,2.0,Yes,No,No,RandD,medium
2036,0.68,0.54,3.0,251,2.0,No,No,No,RandD,medium
2037,0.7,0.53,4.0,178,2.0,No,No,No,marketing,medium
2038,0.82,0.65,4.0,148,3.0,No,No,No,sales,high
2039,0.72,0.94,4.0,240,4.0,No,No,No,accounting,low
2040,0.77,0.78,3.0,269,3.0,No,No,No,support,medium
2041,0.86,0.91,4.0,147,3.0,No,No,No,technical,medium
2042,0.15,0.97,3.0,198,5.0,No,No,No,management,medium
2043,0.81,0.99,5.0,143,3.0,No,No,No,marketing,medium
2044,0.93,0.98,3.0,238,2.0,No,No,No,marketing,low
2045,0.62,0.74,4.0,213,4.0,No,No,No,marketing,low
2046,0.53,0.81,3.0,226,3.0,Yes,No,No,sales,low
2047,0.86,0.99,3.0,169,2.0,Yes,No,No,sales,low
2048,0.92,0.65,4.0,238,2.0,No,No,No,sales,low
2049,0.97,0.83,4.0,202,3.0,No,No,No,sales,low
2050,0.39,0.78,2.0,205,6.0,Yes,No,No,sales,low
2051,0.45,0.66,3.0,111,4.0,No,No,No,sales,low
2052,0.41,0.47,4.0,104,3.0,No,No,No,sales,low
2053,0.51,0.69,3.0,212,3.0,No,No,No,sales,low
2054,0.74,0.62,4.0,236,4.0,No,No,No,sales,low
2055,0.69,0.57,5.0,245,2.0,Yes,No,No,sales,low
2056,0.84,0.64,4.0,267,4.0,No,No,No,sales,low
2057,0.69,0.66,5.0,106,5.0,No,No,No,sales,low
2058,0.93,0.53,5.0,198,3.0,No,No,No,sales,low
2059,0.33,0.45,6.0,239,3.0,No,No,No,sales,low
2060,0.25,0.65,5.0,220,3.0,No,No,No,sales,low
2061,0.63,0.59,5.0,224,3.0,No,No,No,sales,low
2062,0.81,0.62,3.0,100,3.0,No,No,No,sales,low
2063,0.12,0.87,4.0,244,5.0,No,No,No,sales,low
2064,0.52,0.66,4.0,139,3.0,No,No,No,sales,low
2065,0.57,0.51,2.0,152,2.0,No,No,No,accounting,medium
2066,0.84,0.58,4.0,208,3.0,No,No,No,accounting,medium
2067,0.6,0.95,5.0,205,3.0,No,No,No,accounting,medium
2068,0.73,0.44,2.0,194,6.0,No,No,No,hr,medium
2069,0.2,0.58,3.0,209,5.0,No,No,No,hr,medium
2070,0.58,0.9,3.0,212,3.0,No,No,No,hr,medium
2071,0.48,0.56,2.0,151,3.0,No,No,No,hr,medium
2072,0.54,0.67,4.0,282,6.0,No,No,No,technical,medium
2073,0.86,1.0,4.0,256,3.0,No,No,No,technical,medium
2074,0.94,0.83,2.0,185,3.0,Yes,No,No,technical,medium
2075,0.76,0.74,5.0,132,3.0,No,No,No,technical,medium
2076,0.61,0.95,5.0,233,3.0,No,No,No,technical,medium
2077,0.56,0.94,4.0,215,2.0,No,No,No,technical,high
2078,1.0,0.74,3.0,220,4.0,No,No,No,technical,low
2079,0.15,0.53,6.0,222,3.0,No,No,No,technical,medium
2080,0.19,0.58,5.0,182,2.0,No,No,No,technical,medium
2081,0.17,0.73,5.0,258,4.0,No,No,No,technical,medium
2082,0.71,0.57,3.0,209,2.0,No,No,No,technical,medium
2083,0.86,0.79,3.0,242,2.0,No,No,No,support,low
2084,0.59,0.88,4.0,155,3.0,Yes,No,No,support,low
2085,0.74,0.76,5.0,104,4.0,No,No,No,support,low
2086,0.98,0.92,4.0,201,3.0,Yes,No,No,support,low
2087,0.93,0.75,5.0,143,3.0,No,No,No,support,low
2088,1.0,0.92,5.0,161,3.0,Yes,No,No,support,low
2089,0.59,0.81,4.0,200,2.0,No,No,No,support,low
2090,0.98,0.55,4.0,255,2.0,No,No,No,support,low
2091,0.35,0.5,5.0,227,2.0,No,No,No,support,low
2092,0.42,0.96,3.0,270,6.0,No,No,No,support,low
2093,0.61,0.85,5.0,230,3.0,No,No,No,support,low
2094,0.78,0.72,5.0,270,3.0,Yes,No,No,technical,low
2095,0.93,0.52,4.0,200,3.0,No,No,No,technical,low
2096,0.5,0.95,5.0,207,3.0,No,No,No,technical,low
2097,0.67,0.51,5.0,182,3.0,No,No,No,management,low
2098,0.75,0.85,4.0,234,3.0,No,No,No,IT,low
2099,0.79,0.51,4.0,237,2.0,No,No,No,IT,low
2100,0.84,0.89,4.0,187,2.0,Yes,No,No,IT,low
2101,0.72,0.5,3.0,257,6.0,No,No,No,IT,low
2102,0.57,0.48,2.0,194,2.0,No,No,No,IT,low
2103,0.73,0.52,4.0,162,3.0,No,No,No,product_mng,low
2104,0.74,0.58,4.0,148,2.0,No,No,No,product_mng,medium
2105,0.52,0.83,4.0,210,2.0,No,No,No,product_mng,medium
2106,0.56,0.76,3.0,213,2.0,Yes,No,No,product_mng,medium
2107,0.76,0.68,4.0,189,2.0,Yes,No,No,IT,medium
2108,0.82,0.93,4.0,185,2.0,No,No,No,RandD,medium
2109,0.76,0.83,3.0,186,2.0,Yes,No,No,RandD,medium
2110,0.62,0.59,3.0,128,3.0,No,No,No,RandD,medium
2111,0.48,0.8,4.0,268,3.0,No,No,No,RandD,medium
2112,0.64,0.77,3.0,213,3.0,Yes,No,No,RandD,medium
2113,0.74,0.82,4.0,142,2.0,No,No,No,marketing,medium
2114,0.52,0.43,2.0,199,2.0,No,No,No,sales,medium
2115,0.67,0.5,4.0,157,2.0,No,No,No,accounting,medium
2116,0.71,0.76,5.0,172,2.0,Yes,No,No,support,high
2117,0.72,0.63,3.0,176,3.0,Yes,No,No,technical,low
2118,0.33,0.58,2.0,183,2.0,No,No,No,management,medium
2119,0.91,0.56,4.0,270,2.0,No,No,No,marketing,medium
2120,0.88,0.68,5.0,157,4.0,Yes,No,No,marketing,medium
2121,0.96,0.6,4.0,185,3.0,No,No,No,marketing,medium
2122,0.97,0.68,3.0,167,3.0,No,No,No,sales,low
2123,0.27,0.59,5.0,226,5.0,No,No,No,sales,low
2124,0.65,0.64,3.0,223,4.0,No,No,No,sales,low
2125,0.68,0.73,3.0,257,3.0,No,No,No,sales,low
2126,0.68,0.46,4.0,143,3.0,No,No,No,sales,low
2127,0.69,0.74,3.0,215,2.0,No,No,No,sales,low
2128,0.79,0.99,3.0,194,4.0,No,No,No,sales,low
2129,0.74,0.92,5.0,193,3.0,No,No,No,sales,low
2130,0.8,0.83,3.0,163,3.0,No,No,No,sales,low
2131,0.38,0.94,5.0,252,5.0,No,No,No,sales,low
2132,0.26,0.83,3.0,168,3.0,No,No,No,sales,low
2133,0.81,0.86,3.0,231,3.0,No,No,No,sales,low
2134,0.67,0.54,2.0,141,2.0,No,No,No,sales,low
2135,0.55,0.81,4.0,260,2.0,No,No,No,sales,low
2136,0.87,0.71,3.0,132,2.0,No,No,No,sales,low
2137,0.46,0.69,2.0,159,2.0,No,No,No,sales,low
2138,0.63,0.57,4.0,177,3.0,Yes,No,No,sales,low
2139,0.54,0.96,4.0,248,3.0,No,No,No,sales,low
2140,1.0,0.49,3.0,185,2.0,No,No,No,sales,low
2141,0.97,0.66,4.0,149,2.0,No,No,No,accounting,low
2142,0.9,0.92,3.0,152,3.0,No,No,No,accounting,low
2143,0.75,0.7,3.0,129,3.0,No,No,No,accounting,medium
2144,0.92,0.84,4.0,208,2.0,No,No,No,hr,medium
2145,0.8,0.94,4.0,136,2.0,No,No,No,hr,medium
2146,0.57,0.81,3.0,142,2.0,No,No,No,hr,medium
2147,0.81,0.94,3.0,225,4.0,No,No,No,hr,medium
2148,0.64,0.6,3.0,143,3.0,No,No,No,technical,medium
2149,0.71,0.54,4.0,215,3.0,No,No,No,technical,medium
2150,0.35,0.58,3.0,229,6.0,Yes,No,No,technical,medium
2151,0.88,0.81,5.0,193,5.0,No,No,No,technical,medium
2152,0.13,0.59,5.0,160,5.0,No,No,No,technical,medium
2153,0.82,0.73,4.0,195,5.0,Yes,No,No,technical,medium
2154,0.17,0.92,4.0,189,2.0,No,No,No,technical,medium
2155,0.21,0.82,4.0,207,5.0,No,No,No,technical,high
2156,0.89,0.47,4.0,108,3.0,No,No,No,technical,low
2157,0.2,0.72,6.0,224,4.0,No,No,No,technical,medium
2158,0.99,0.81,5.0,180,3.0,Yes,No,No,technical,medium
2159,0.26,0.85,6.0,152,4.0,No,No,No,support,medium
2160,0.22,0.53,4.0,244,2.0,No,No,No,support,medium
2161,0.79,0.84,3.0,176,3.0,No,No,No,support,low
2162,0.73,0.79,4.0,145,2.0,Yes,No,No,support,low
2163,0.83,0.54,3.0,149,3.0,No,No,No,support,low
2164,0.42,0.54,3.0,122,4.0,No,No,No,support,low
2165,0.18,0.8,2.0,110,5.0,No,No,No,support,low
2166,0.92,0.91,4.0,222,2.0,No,No,No,support,low
2167,0.87,0.52,3.0,237,3.0,No,No,No,support,low
2168,0.72,0.65,4.0,224,3.0,No,No,No,support,low
2169,0.64,0.58,5.0,115,5.0,No,No,No,support,low
2170,1.0,0.66,4.0,180,3.0,No,No,No,technical,low
2171,0.83,0.65,4.0,162,3.0,No,No,No,technical,low
2172,0.98,0.58,4.0,136,3.0,No,No,No,technical,low
2173,0.7,0.87,3.0,260,2.0,No,No,No,management,low
2174,0.9,0.79,4.0,150,2.0,No,No,No,IT,low
2175,0.55,0.99,4.0,248,3.0,No,No,No,IT,low
2176,0.78,0.84,3.0,233,3.0,Yes,No,No,IT,low
2177,0.89,0.53,5.0,272,3.0,No,No,No,IT,low
2178,0.17,0.59,3.0,197,5.0,No,No,No,IT,low
2179,0.14,0.64,5.0,164,5.0,No,No,No,product_mng,low
2180,0.85,0.57,4.0,216,2.0,No,No,No,product_mng,low
2181,0.84,0.79,4.0,266,3.0,Yes,No,No,product_mng,low
2182,0.7,0.69,3.0,102,4.0,Yes,No,No,product_mng,medium
2183,0.16,0.98,5.0,284,5.0,No,No,No,IT,medium
2184,0.51,0.69,3.0,145,2.0,Yes,No,No,RandD,medium
2185,0.6,0.89,3.0,167,4.0,No,No,No,RandD,medium
2186,0.5,0.63,3.0,172,2.0,No,No,No,RandD,medium
2187,0.43,0.39,5.0,198,5.0,No,No,No,RandD,medium
2188,0.5,0.7,4.0,201,4.0,No,No,No,RandD,medium
2189,0.91,0.89,4.0,197,4.0,No,No,No,marketing,medium
2190,0.65,0.93,4.0,270,2.0,No,No,No,sales,medium
2191,0.59,0.52,2.0,149,3.0,No,No,No,accounting,medium
2192,0.89,0.56,3.0,256,3.0,No,No,No,support,medium
2193,0.97,0.6,3.0,162,3.0,No,No,No,technical,medium
2194,0.56,0.97,5.0,163,2.0,No,No,No,management,high
2195,0.76,0.93,3.0,266,3.0,Yes,No,No,marketing,low
2196,0.28,0.55,4.0,208,4.0,No,No,No,marketing,medium
2197,0.75,0.51,4.0,138,4.0,No,No,No,marketing,medium
2198,0.78,0.81,4.0,232,3.0,No,No,No,sales,medium
2199,0.26,0.63,6.0,100,4.0,No,No,No,sales,medium
2200,0.53,0.72,2.0,172,5.0,No,No,No,sales,low
2201,0.25,0.41,3.0,133,6.0,Yes,No,No,sales,low
2202,0.82,0.51,3.0,234,3.0,No,No,No,sales,low
2203,0.71,0.57,2.0,183,4.0,No,No,No,sales,low
2204,0.61,0.95,4.0,174,4.0,No,No,No,sales,low
2205,0.89,0.68,3.0,175,2.0,No,No,No,sales,low
2206,0.57,0.78,3.0,109,3.0,Yes,No,No,sales,low
2207,0.93,0.8,4.0,248,3.0,No,No,No,sales,low
2208,0.61,0.84,5.0,104,4.0,No,No,No,sales,low
2209,0.56,0.62,3.0,154,2.0,No,No,No,sales,low
2210,0.7,0.89,6.0,214,2.0,No,No,No,sales,low
2211,0.9,0.64,4.0,209,4.0,No,No,No,sales,low
2212,0.15,0.74,6.0,212,2.0,No,No,No,sales,low
2213,0.39,0.36,3.0,168,3.0,Yes,No,No,sales,low
2214,0.74,0.72,4.0,176,3.0,No,No,No,sales,low
2215,0.7,0.61,4.0,163,4.0,Yes,No,No,sales,low
2216,0.72,0.93,4.0,148,2.0,No,No,No,sales,low
2217,0.61,0.97,3.0,137,3.0,No,No,No,accounting,low
2218,0.96,1.0,5.0,162,3.0,No,No,No,accounting,low
2219,0.7,0.59,4.0,216,3.0,No,No,No,accounting,low
2220,0.92,0.49,3.0,240,2.0,No,No,No,hr,low
2221,0.72,0.56,4.0,176,2.0,No,No,No,hr,medium
2222,0.53,0.75,6.0,192,6.0,No,No,No,hr,medium
2223,0.67,0.85,3.0,160,4.0,No,No,No,hr,medium
2224,0.78,0.8,4.0,194,2.0,Yes,No,No,technical,medium
2225,0.53,0.75,4.0,239,2.0,Yes,No,No,technical,medium
2226,0.9,0.48,4.0,204,3.0,No,No,No,technical,medium
2227,0.16,0.9,5.0,258,3.0,No,No,No,technical,medium
2228,0.62,0.38,3.0,257,3.0,No,No,No,technical,medium
2229,0.62,0.98,4.0,137,3.0,No,No,No,technical,medium
2230,0.22,0.52,6.0,175,4.0,No,No,No,technical,medium
2231,0.91,0.82,3.0,183,3.0,No,No,No,technical,medium
2232,0.87,0.74,4.0,190,4.0,No,No,No,technical,medium
2233,0.95,0.69,3.0,225,2.0,No,No,No,technical,high
2234,0.99,0.75,3.0,215,3.0,No,No,No,technical,low
2235,0.99,0.57,3.0,176,4.0,Yes,No,No,support,medium
2236,0.77,0.99,4.0,153,3.0,Yes,No,No,support,medium
2237,0.75,0.68,3.0,150,2.0,Yes,No,No,support,medium
2238,0.83,0.54,4.0,259,5.0,No,No,No,support,medium
2239,0.61,0.39,3.0,99,2.0,No,No,No,support,low
2240,0.91,0.97,3.0,167,2.0,No,No,No,support,low
2241,0.47,0.64,3.0,192,3.0,No,No,No,support,low
2242,0.77,0.61,5.0,146,3.0,No,No,No,support,low
2243,0.55,0.51,3.0,190,3.0,No,No,No,support,low
2244,0.32,0.48,5.0,246,3.0,No,No,No,support,low
2245,0.96,0.67,6.0,190,3.0,No,No,No,support,low
2246,0.72,0.79,5.0,260,2.0,No,No,No,technical,low
2247,0.8,0.9,4.0,136,3.0,No,No,No,technical,low
2248,0.61,0.55,4.0,231,3.0,No,No,No,technical,low
2249,0.97,0.88,3.0,204,2.0,No,No,No,management,low
2250,0.63,0.93,4.0,201,3.0,No,No,No,IT,low
2251,0.92,0.92,3.0,159,3.0,No,No,No,IT,low
2252,0.94,0.74,5.0,171,3.0,No,No,No,IT,low
2253,0.79,0.72,6.0,240,4.0,No,No,No,IT,low
2254,0.75,0.73,2.0,152,4.0,No,No,No,IT,low
2255,0.78,0.99,3.0,151,3.0,Yes,No,No,product_mng,low
2256,0.96,0.45,6.0,232,2.0,Yes,No,No,product_mng,low
2257,0.65,0.68,4.0,128,5.0,No,No,No,product_mng,low
2258,0.18,0.94,3.0,187,6.0,Yes,No,No,product_mng,low
2259,0.94,0.51,3.0,160,2.0,No,No,No,IT,low
2260,0.84,0.79,4.0,259,3.0,No,No,No,RandD,medium
2261,0.67,0.54,2.0,136,2.0,No,No,No,RandD,medium
2262,0.71,0.5,4.0,253,3.0,No,No,No,RandD,medium
2263,0.56,0.64,3.0,260,3.0,No,No,No,RandD,medium
2264,0.29,0.56,5.0,231,6.0,No,No,No,RandD,medium
2265,0.47,0.9,3.0,101,2.0,Yes,No,No,marketing,medium
2266,0.4,0.69,2.0,174,3.0,No,No,No,sales,medium
2267,0.81,0.82,4.0,167,2.0,No,No,No,accounting,medium
2268,0.96,0.99,3.0,148,3.0,No,No,No,support,medium
2269,0.99,0.75,6.0,139,5.0,Yes,No,No,technical,medium
2270,0.75,0.77,4.0,136,3.0,No,No,No,management,medium
2271,0.75,0.74,4.0,153,2.0,No,No,No,marketing,medium
2272,1.0,0.86,4.0,161,2.0,No,No,No,marketing,high
2273,0.52,0.53,2.0,163,2.0,No,No,No,marketing,low
2274,0.98,0.74,3.0,164,3.0,No,No,No,sales,medium
2275,0.6,0.64,2.0,137,5.0,No,No,No,sales,medium
2276,0.38,0.44,3.0,137,3.0,No,No,No,sales,medium
2277,0.51,0.41,6.0,106,5.0,No,No,No,sales,medium
2278,0.91,0.61,2.0,272,2.0,No,No,No,sales,low
2279,0.56,0.62,5.0,238,3.0,No,No,No,sales,low
2280,0.58,0.69,4.0,223,4.0,No,No,No,sales,low
2281,0.51,0.53,3.0,201,2.0,No,No,No,sales,low
2282,0.91,0.55,6.0,97,4.0,No,No,No,sales,low
2283,0.8,0.98,2.0,232,6.0,Yes,No,No,sales,low
2284,0.55,0.83,4.0,199,3.0,No,No,No,sales,low
2285,0.62,0.53,3.0,141,3.0,No,No,No,sales,low
2286,0.62,0.6,3.0,171,2.0,No,No,No,sales,low
2287,0.87,0.58,4.0,212,3.0,No,No,No,sales,low
2288,0.65,0.5,5.0,270,2.0,No,No,No,sales,low
2289,0.51,0.64,3.0,267,2.0,No,No,No,sales,low
2290,0.98,0.77,3.0,134,2.0,Yes,No,No,sales,low
2291,0.13,0.43,4.0,165,5.0,No,No,No,sales,low
2292,0.78,0.76,5.0,168,4.0,Yes,No,No,sales,low
2293,0.6,0.98,3.0,262,2.0,No,No,No,accounting,low
2294,0.68,0.69,3.0,185,2.0,No,No,No,accounting,low
2295,0.55,0.84,3.0,237,3.0,No,No,No,accounting,low
2296,0.99,0.79,4.0,192,3.0,No,No,No,hr,low
2297,0.92,0.68,5.0,236,2.0,No,No,No,hr,low
2298,1.0,0.65,4.0,202,4.0,Yes,No,No,hr,low
2299,0.77,0.93,4.0,171,2.0,No,No,No,hr,medium
2300,0.86,0.7,5.0,160,3.0,No,No,No,technical,medium
2301,0.89,0.84,2.0,252,3.0,No,No,No,technical,medium
2302,0.58,0.55,5.0,206,3.0,No,No,No,technical,medium
2303,0.56,0.66,3.0,212,2.0,No,No,No,technical,medium
2304,0.38,0.64,3.0,111,3.0,No,No,No,technical,medium
2305,0.62,0.64,3.0,240,2.0,No,No,No,technical,medium
2306,0.66,0.77,2.0,171,2.0,No,No,No,technical,medium
2307,0.3,0.44,3.0,129,2.0,No,No,No,technical,medium
2308,0.82,0.83,3.0,271,2.0,No,No,No,technical,medium
2309,0.96,0.68,4.0,162,2.0,No,No,No,technical,medium
2310,0.66,0.95,3.0,191,3.0,No,No,No,technical,medium
2311,0.79,0.5,5.0,176,3.0,No,No,No,support,high
2312,0.97,0.77,3.0,182,2.0,Yes,No,No,support,low
2313,0.59,0.65,3.0,226,3.0,No,No,No,support,medium
2314,0.57,0.48,4.0,161,3.0,No,No,No,support,medium
2315,0.64,0.53,4.0,163,3.0,No,No,No,support,medium
2316,0.14,0.51,5.0,173,4.0,No,No,No,support,medium
2317,0.48,0.55,3.0,228,2.0,No,No,No,support,low
2318,0.78,1.0,3.0,139,3.0,No,No,No,support,low
2319,0.96,0.62,5.0,128,5.0,No,No,No,support,low
2320,0.82,0.97,3.0,115,2.0,Yes,No,No,support,low
2321,0.94,0.9,5.0,191,4.0,No,No,No,support,low
2322,0.95,0.66,4.0,183,3.0,No,No,No,technical,low
2323,0.59,0.43,3.0,173,3.0,No,No,No,technical,low
2324,0.69,0.89,4.0,174,2.0,No,No,No,technical,low
2325,0.74,0.72,3.0,213,3.0,No,No,No,management,low
2326,0.67,0.67,4.0,192,4.0,No,No,No,IT,low
2327,0.83,0.52,3.0,167,2.0,Yes,No,No,IT,low
2328,0.81,0.85,3.0,263,3.0,Yes,No,No,IT,low
2329,0.54,0.73,2.0,100,3.0,No,No,No,IT,low
2330,0.89,0.83,3.0,164,3.0,No,No,No,IT,low
2331,0.79,0.74,5.0,172,2.0,No,No,No,product_mng,low
2332,0.46,0.58,4.0,171,3.0,No,No,No,product_mng,low
2333,0.99,0.93,4.0,236,3.0,No,No,No,product_mng,low
2334,0.75,0.9,5.0,186,4.0,No,No,No,product_mng,low
2335,0.93,0.82,4.0,175,3.0,No,No,No,IT,low
2336,0.65,0.6,5.0,227,3.0,No,No,No,RandD,low
2337,0.19,0.63,4.0,142,6.0,No,No,No,RandD,low
2338,0.48,0.61,2.0,121,2.0,No,No,No,RandD,medium
2339,0.95,0.64,5.0,234,3.0,No,No,No,RandD,medium
2340,0.92,0.77,4.0,185,3.0,No,No,No,RandD,medium
2341,0.84,0.54,4.0,160,3.0,No,No,No,marketing,medium
2342,0.37,0.63,4.0,153,3.0,Yes,No,No,sales,medium
2343,0.22,0.74,3.0,199,6.0,No,No,No,accounting,medium
2344,0.64,0.54,3.0,166,2.0,No,No,No,support,medium
2345,0.72,0.88,2.0,247,3.0,No,No,No,technical,medium
2346,0.48,0.69,4.0,245,3.0,No,No,No,management,medium
2347,0.12,0.55,5.0,242,4.0,No,No,No,marketing,medium
2348,0.78,0.98,5.0,158,2.0,No,No,No,marketing,medium
2349,0.71,0.74,3.0,163,3.0,Yes,No,No,marketing,medium
2350,0.38,0.69,3.0,99,3.0,Yes,No,No,sales,high
2351,0.57,0.85,4.0,164,3.0,No,No,No,sales,low
2352,0.72,0.51,3.0,160,3.0,No,No,No,sales,medium
2353,0.6,0.57,2.0,184,3.0,No,No,No,sales,medium
2354,0.61,0.55,5.0,266,2.0,No,No,No,sales,medium
2355,0.67,0.64,4.0,190,2.0,No,No,No,sales,medium
2356,0.97,0.97,5.0,192,2.0,No,No,No,sales,low
2357,0.22,0.6,3.0,205,6.0,Yes,No,No,sales,low
2358,0.15,0.53,4.0,205,5.0,Yes,No,No,sales,low
2359,0.6,0.6,3.0,258,3.0,No,No,No,sales,low
2360,0.15,0.8,5.0,151,2.0,Yes,No,No,sales,low
2361,0.5,0.81,3.0,148,2.0,No,No,No,sales,low
2362,0.9,0.67,3.0,179,2.0,No,No,No,sales,low
2363,0.84,0.51,6.0,141,2.0,Yes,No,No,sales,low
2364,0.74,0.78,5.0,216,2.0,No,No,No,sales,low
2365,0.72,0.51,3.0,235,2.0,No,No,No,sales,low
2366,0.93,0.63,3.0,160,4.0,Yes,No,No,sales,low
2367,0.54,0.69,3.0,141,4.0,No,No,No,sales,low
